county,precinct,office,district,party,candidate,votes,polls,abs,prov
Rankin,523 City Hall,Secretary of State,,REF,Randy Walker ,15,15,0,0
Rankin,523 City Hall,Secretary of State,,,Write-in,0,0,0,0
Rankin,523 City Hall,Attorney General,,DEM,Jim Hood ,210,205,3,2
Rankin,523 City Hall,Attorney General,,REP,Mike Hurst ,333,320,8,5
Rankin,523 City Hall,Attorney General,,,Write-in,1,1,0,0
Rankin,523 City Hall,State Auditor,,REP,Stacey E. Pickering ,469,456,8,5
Rankin,523 City Hall,State Auditor,,DEM,Jocelyn  Pepper Pritchett,66,62,3,1
Rankin,523 City Hall,State Auditor,,REF,Lajena Walley ,6,6,0,0
Rankin,523 City Hall,State Auditor,,,Write-in,0,0,0,0
Rankin,523 City Hall,State Treasurer,,REP,Lynn Fitch ,478,463,9,6
Rankin,523 City Hall,State Treasurer,,REF,Viola V. McFarland ,52,50,2,0
Rankin,523 City Hall,State Treasurer,,,Write-in,1,1,0,0
Rankin,523 City Hall,Commissioner of Agriculture & Commerce,,DEM,Addie Lee Green ,70,66,3,1
Rankin,523 City Hall,Commissioner of Agriculture & Commerce,,REP,Cindy Hyde-Smith ,459,446,8,5
Rankin,523 City Hall,Commissioner of Agriculture & Commerce,,REF,Cathy L. Toole ,10,10,0,0
Rankin,523 City Hall,Commissioner of Agriculture & Commerce,,,Write-in,0,0,0,0
Rankin,523 City Hall,Commissioner of Insurance,,REP,Mike Chaney ,512,495,10,7
Rankin,523 City Hall,Commissioner of Insurance,,,Write-in,4,4,0,0
Rankin,523 City Hall,State Senate,30,REP,Dean Kirby ,504,487,10,7
Rankin,523 City Hall,State Senate,30,,Write-in,3,3,0,0
Rankin,523 City Hall,State House,61,REP,Ray Rogers ,493,476,10,7
Rankin,523 City Hall,State House,61,,Write-in,3,3,0,0
